Model,Train Accuracy,Test Accuracy,Train F1-Score,Test F1-Score,Generalization Gap
SVM,0.9815,0.977,0.9634748272458046,0.9546351084812623,0.00883971876454226
Logistic Regression,0.94975,0.957,0.9026634382566586,0.9161793372319688,0.013515898975310137
Random Forest,0.97975,0.954,0.9601965601965602,0.9105058365758755,0.04969072362068472
KNN,0.963,0.95,0.9279454722492697,0.8995983935742972,0.028347078674972548
AdaBoost,0.9405,0.933,0.8854667949951877,0.872865275142315,0.012601519852872611
XGBoost,0.94825,0.923,0.9000482858522453,0.8555347091932458,0.044513576658999465
